 ,Area,Mean,Min,Max,X,Y,Slice
1,0,8.814,8.814,8.814,124,0,1
2,0,12.804,12.804,12.804,124,0,2
3,0,15.108,15.108,15.108,124,0,3
4,0,13.725,13.725,13.725,124,13,4
5,0,14.427,14.427,14.427,79,0,5
6,0,13.552,13.552,13.552,124,11,5
7,0,13.676,13.676,13.676,101,23,6
8,0,13.622,13.622,13.622,79,1,6
9,0,20.918,20.918,20.918,124,43,7
10,0,14.199,14.199,14.199,99,0,7
11,0,12.785,12.785,12.785,58,0,7
12,0,20.048,20.048,20.048,124,47,8
13,0,19.315,19.315,19.315,99,0,8
14,0,13.356,13.356,13.356,66,6,8
15,0,22.632,22.632,22.632,116,68,9
16,0,18.592,18.592,18.592,100,0,9
17,0,17.777,17.777,17.777,124,52,9
18,0,13.845,13.845,13.845,53,0,9
19,0,31.284,31.284,31.284,113,68,10
20,0,17.967,17.967,17.967,59,18,10
21,0,16.729,16.729,16.729,99,12,10
22,0,16.356,16.356,16.356,33,0,10
23,0,26.090,26.090,26.090,115,55,11
24,0,25.615,25.615,25.615,114,68,11
25,0,22.645,22.645,22.645,124,36,11
26,0,20.485,20.485,20.485,51,12,11
27,0,16.387,16.387,16.387,124,79,11
28,0,31.307,31.307,31.307,117,56,12
29,0,31.223,31.223,31.223,105,43,12
30,0,28.382,28.382,28.382,96,58,12
31,0,25.650,25.650,25.650,124,36,12
32,0,23.583,23.583,23.583,83,61,12
33,0,21.767,21.767,21.767,50,13,12
34,0,18.448,18.448,18.448,122,79,12
35,0,17.870,17.870,17.870,68,37,12
36,0,16.918,16.918,16.918,35,7,12
37,0,16.244,16.244,16.244,104,30,12
38,0,13.791,13.791,13.791,94,7,12
39,0,33.258,33.258,33.258,93,83,13
40,0,31.310,31.310,31.310,89,50,13
41,0,28.539,28.539,28.539,106,44,13
42,0,28.111,28.111,28.111,77,59,13
43,0,24.200,24.200,24.200,116,71,13
44,0,19.730,19.730,19.730,122,56,13
45,0,19.602,19.602,19.602,120,37,13
46,0,12.791,12.791,12.791,108,13,13
47,0,40.128,40.128,40.128,111,81,14
48,0,36.067,36.067,36.067,89,83,14
49,0,34.907,34.907,34.907,75,55,14
50,0,30.751,30.751,30.751,113,50,14
51,0,26.774,26.774,26.774,116,71,14
52,0,26.312,26.312,26.312,100,42,14
53,0,20.124,20.124,20.124,111,13,14
54,0,19.930,19.930,19.930,117,109,14
55,0,19.122,19.122,19.122,119,37,14
56,0,19.010,19.010,19.010,60,27,14
57,0,15.626,15.626,15.626,78,13,14
58,0,46.524,46.524,46.524,88,89,15
59,0,40.449,40.449,40.449,101,83,15
60,0,35.797,35.797,35.797,118,69,15
61,0,33.624,33.624,33.624,85,79,15
62,0,30.485,30.485,30.485,117,50,15
63,0,30.384,30.384,30.384,77,47,15
64,0,21.378,21.378,21.378,104,4,15
65,0,21.201,21.201,21.201,19,3,15
66,0,18.390,18.390,18.390,116,112,15
67,0,16.969,16.969,16.969,74,28,15
68,0,16.771,16.771,16.771,57,27,15
69,0,16.625,16.625,16.625,27,25,15
70,0,48.226,48.226,48.226,108,84,16
71,0,43.192,43.192,43.192,104,71,16
72,0,40.094,40.094,40.094,118,74,16
73,0,35.430,35.430,35.430,86,88,16
74,0,32.802,32.802,32.802,84,79,16
75,0,26.342,26.342,26.342,76,51,16
76,0,26.329,26.329,26.329,69,72,16
77,0,24.242,24.242,24.242,100,6,16
78,0,22.505,22.505,22.505,19,4,16
79,0,21.833,21.833,21.833,119,115,16
80,0,20.057,20.057,20.057,110,46,16
81,0,17.464,17.464,17.464,75,28,16
82,0,16.925,16.925,16.925,54,52,16
83,0,15.406,15.406,15.406,63,15,16
84,0,13.809,13.809,13.809,54,27,16
85,0,12.636,12.636,12.636,39,61,16
