 ,Area,Mean,Min,Max,X,Y,Slice
1,0,17.913,17.913,17.913,50,77,1
2,0,17.017,17.017,17.017,63,182,1
3,0,16.492,16.492,16.492,59,51,1
4,0,16.156,16.156,16.156,29,6,1
5,0,15.273,15.273,15.273,2,20,1
6,0,14.941,14.941,14.941,73,110,1
7,0,14.918,14.918,14.918,92,16,1
8,0,14.683,14.683,14.683,46,158,1
9,0,14.544,14.544,14.544,49,219,1
10,0,14.520,14.520,14.520,75,77,1
11,0,14.457,14.457,14.457,57,150,1
12,0,14.343,14.343,14.343,100,191,1
13,0,14.252,14.252,14.252,64,215,1
14,0,14.212,14.212,14.212,101,25,1
15,0,14.154,14.154,14.154,88,60,1
16,0,14.144,14.144,14.144,97,27,1
17,0,14.029,14.029,14.029,61,186,1
18,0,13.999,13.999,13.999,1,166,1
19,0,13.841,13.841,13.841,78,127,1
20,0,13.819,13.819,13.819,83,130,1
21,0,13.765,13.765,13.765,100,173,1
22,0,13.702,13.702,13.702,23,19,1
23,0,13.661,13.661,13.661,110,217,1
24,0,13.615,13.615,13.615,2,73,1
25,0,13.488,13.488,13.488,81,16,1
26,0,13.385,13.385,13.385,81,24,1
27,0,13.362,13.362,13.362,98,47,1
28,0,13.349,13.349,13.349,39,15,1
29,0,13.338,13.338,13.338,46,26,1
30,0,13.335,13.335,13.335,94,176,1
31,0,13.310,13.310,13.310,27,153,1
32,0,13.288,13.288,13.288,121,126,1
33,0,13.236,13.236,13.236,111,18,1
34,0,13.173,13.173,13.173,46,34,1
35,0,13.148,13.148,13.148,100,60,1
36,0,13.136,13.136,13.136,8,196,1
37,0,13.112,13.112,13.112,98,220,1
38,0,13.079,13.079,13.079,44,210,1
39,0,13.010,13.010,13.010,21,212,1
40,0,13.009,13.009,13.009,123,71,1
41,0,13.008,13.008,13.008,26,198,1
42,0,13.002,13.002,13.002,67,59,1
43,0,12.971,12.971,12.971,68,118,1
44,0,12.905,12.905,12.905,22,64,1
45,0,12.896,12.896,12.896,83,185,1
46,0,12.886,12.886,12.886,51,152,1
47,0,12.884,12.884,12.884,49,59,1
48,0,12.847,12.847,12.847,118,4,1
49,0,12.797,12.797,12.797,99,13,1
50,0,12.795,12.795,12.795,33,130,1
51,0,12.764,12.764,12.764,19,18,1
52,0,12.716,12.716,12.716,94,102,1
53,0,12.678,12.678,12.678,14,3,1
54,0,12.660,12.660,12.660,99,200,1
55,0,12.642,12.642,12.642,111,37,1
56,0,12.594,12.594,12.594,78,48,1
57,0,12.560,12.560,12.560,42,24,1
58,0,12.549,12.549,12.549,33,77,1
59,0,12.548,12.548,12.548,26,234,1
60,0,12.544,12.544,12.544,20,170,1
61,0,12.534,12.534,12.534,56,176,1
62,0,12.504,12.504,12.504,27,158,1
63,0,12.465,12.465,12.465,15,232,1
64,0,12.449,12.449,12.449,110,124,1
65,0,12.445,12.445,12.445,3,127,1
66,0,12.440,12.440,12.440,49,36,1
67,0,12.418,12.418,12.418,51,75,1
68,0,12.414,12.414,12.414,92,130,1
69,0,12.406,12.406,12.406,78,39,1
70,0,12.399,12.399,12.399,98,116,1
71,0,12.395,12.395,12.395,76,185,1
72,0,12.390,12.390,12.390,33,23,1
73,0,12.385,12.385,12.385,87,211,1
74,0,12.350,12.350,12.350,83,33,1
75,0,12.346,12.346,12.346,36,182,1
76,0,12.331,12.331,12.331,123,137,1
